number,type,name,city
5,rue,RIQUET,Paris
141,boulevard,ITALIE,Paris
234,rue,FAUBOURG ST-HONORÉ,Paris
62,rue,MICHEL BIZOT,Paris
6,rue,OURS,Paris
30,rue,PETIT-MUSC,Paris
3,impasse,MASSONET,Paris
56,rue,PANOYAUX,Paris
16,rue,THÉRÈSE,Paris
11,rue,JEAN ROBERT,Paris
22,rue,FAUBOURG POISSONNIÈRE,Paris
19,rue,CHALIGNY,Paris
77,rue,LILLE,Paris
64,rue,BAGNOLET,Paris
39,rue,ROMAINVILLE,Paris
4,rue,PIERRE DUPONT,Paris
3,place,MARCHÉ-Ste-CATHERINE,Paris
19,rue,VIALA,Paris
16,rue,ESPÉRANCE,Paris
51,rue,GRENELLE,Paris
49,rue,LEPIC,Paris
14,rue,DEBELLEYME,Paris
34,avenue,VILLIERS,Paris
10,rue,SAINT-FLORENTIN,Paris
7,rue,EUGÈNE DELACROIX,Paris
8,rue,THOREL,Paris
40,rue,BAC,Paris
2,impasse,ONFROY,Paris
68,rue,JEAN-JACQUES ROUSSEAU,Paris
51,rue,ALOUETTES,Paris
65,rue,FAUBOURG ST-HONORÉ,Paris
7,rue,ROULE,Paris
5,rue,POINTE D'IVRY,Paris
13,rue,SABLIÈRE,Paris
86,avenue,ITALIE,Paris
90,avenue,ITALIE,Paris
21,rue,ROUSSIN,Paris
60,boulevard,COURCELLES,Paris
8,rue,FEUTRIER,Paris
62,rue,CHATEAU DES RENTIERS,Paris
150,rue,RENNES,Paris
101,rue,CHERCHE-MIDI,Paris
10,rue,FAUBOURG SAINT-DENIS,Paris
48,boulevard,VOLTAIRE,Paris
92,avenue,SUFFREN,Paris
2,rue,COUSTOU,Paris
17,boulevard,POISSONNIÈRE,Paris
204,rue,FAUBOURG SAINT-DENIS,Paris
82,avenue,IVRY,Paris
5,rue,SABLONS,Paris
20,rue,CHORON,Paris
5,rue,LIANCOURT,Paris
49,rue,BONAPARTE,Paris
34,rue,GALILÉE,Paris
38,rue,MEUNIERS,Paris
74,rue,SAINT-LAZARE,Paris
18,rue,LEDION,Paris
8,impasse,DECRÈS,Paris
53,rue,ORDENER,Paris
34,rue,MARAICHERS,Paris
4,rue,COLMAR,Paris
10,rue,MARONITES,Paris
109,rue,SAINT-ANTOINE,Paris
22,rue,PÉPINIÈRE,Paris
30,rue,FÉLICIEN DAVID,Paris
24,rue,TOUL,Paris
15,rue,CAMPAGNE-PREMIÈRE,Paris
33,rue,RICHELIEU,Paris
5,rue,AUGUSTE-VACQUERIE,Paris
7,rue,LEROUX,Paris
94,rue,TURENNE,Paris
19,rue,N.-D. DE LORETTE,Paris
10,place,DANCOURT,Paris
35,rue,AUDE,Paris
7,avenue,SUFFREN,Paris
